itinerario,endereco,referencia,horario,turno
02 - Botujuru,R. Pedro Kramer - Cidade Jardim - Jundiaí,Ponto de Ônibus Urbano,6:57,ADMSEXTA
02 - Botujuru,R. Juraci Paupério - Cidade Jardim - Jundiaí,Arena Pizza,6:58,ADMSEXTA
02 - Botujuru,R. Rachid Jorge Cury - Jd. Do Lago - Jundiaí,Ponto de Ônibus Urbano,7:00,ADMSEXTA
02 - Botujuru,Av. Samuel Martins - Vila Progresso - Jundiaí,Posto Shell,7:03,ADMSEXTA
02 - Botujuru,R. Santa Catarina - Jd. Esplanada - Jundiaí,Ponto de Ônibus Urbano,7:04,ADMSEXTA
02 - Botujuru,R. Zuferey - Jd. Esplanada - Jundiaí,Ponto de Ônibus Urbano,7:05,ADMSEXTA
02 - Botujuru,R. Lestapis - Vl . Isabel - Jundiaí,Ponto de Ônibus Urbano,7:06,ADMSEXTA
02 - Botujuru,Rua São luiz - Vl . Isabel - Jundiaí,Ponto de Ônibus Urbano,7:07,ADMSEXTA
02 - Botujuru,R. Cica - Jd. Cica - Jundiaí,Telha Norte,7:08,ADMSEXTA
02 - Botujuru,R. Messina - Jd. Messian - Jundiaí,Sobam,7:09,ADMSEXTA
02 - Botujuru,Av.Nove de Julho - Jd. Paulista - Jundiaí,Rodoviária,7:14,ADMSEXTA
02 - Botujuru,Marginal Rod. Anhanguera - Anhangabaú - Jundiaí,Sem Ponto,7:16,ADMSEXTA
02 - Botujuru,Rod. Anhanguera - Retiro - Jundiaí,Passarela Carrefour,7:18,ADMSEXTA
02 - Botujuru,Rod. Dom Gabriel Paulino Couto - Distrito Industrial - Jundiaí,Posto Centenário,7:22,ADMSEXTA
03 - Caieiras,Av. Renata Bianchi - Vila Rosina - Caieiras,AMBEV - CDD Norte,5:40,ADMSEXTA
03 - Caieiras,Rod. Pres. Tancredo de Almeida Neves - Serpa - Caieiras,McDonald's,5:47,ADMSEXTA
03 - Caieiras,Av. dos Expedicionarios - Centro - Franco da Rocha,Shopping Franco da Rocha,5:55,ADMSEXTA
03 - Caieiras,R. Basílio Fazzi - Centro - Franco da Rocha ,McDonald's,5:56,ADMSEXTA
03 - Caieiras,R. Benedito Fagundes Marques - Centro - Franco da Rocha ,Posto Zebrinha,5:59,ADMSEXTA
03 - Caieiras,R. Paoli - Vila Irma - Franco da Rocha ,Friomaq,6:00,ADMSEXTA
03 - Caieiras,R. Tiradentes - Vila Bazu - Franco da Rocha ,Padaria - Bazu Paes e Doces,6:01,ADMSEXTA
03 - Franco da Rocha,Av. São Paulo - Parque Paulista - Franco da Rocha ,Igreja universal,6:10,ADMSEXTA
03 - Franco da Rocha,Av. São Paulo - Parque Paulista - Francisco Morato,Ponto do Deposito Oliveira,6:12,ADMSEXTA
03 - Franco da Rocha,Av. São Paulo - Parque Paulista - Francisco Morato,Morato Motos,6:14,ADMSEXTA
03 - Franco da Rocha,R. Gerônimo Caetano Garcia - Centro - Francisco Morato ,Ponto das lojas Cem,6:18,ADMSEXTA
03 - Franco da Rocha,R. João Mendes Júnior - Jardim Prof. Francisco Morato - Francisco Morato ,Esplanada Móveis,6:20,ADMSEXTA
03 - Franco da Rocha,Rod. Manoel Silverio Pinto - Belem Estacao - Francisco Morato ,Hospital Estadual de Francisco Morato - Lacaz,6:23,ADMSEXTA
03 - Franco da Rocha,Rod. Manoel Silverio Pinto - Jardim Sinobe - Francisco Morato ,Prefeitura Municipal de Francisco Morato,6:25,ADMSEXTA
03 - Franco da Rocha,Rod. Manoel Silverio Pinto - Jardim dos Bandeirantes - Franco da Rocha ,Federzoni Casa & Construção - Bandeirantes,6:29,ADMSEXTA
04 - Itupeva,R. Geraldo Ferraz - Monte Serrat - Itupeva,Caixa D'água,5:50,ADMSEXTA
04 - Itupeva,R. Vicente Tonoli - Monte Serrat - Itupeva,Recanto Nordestino,5:52,ADMSEXTA
04 - Itupeva,Praça São Paulo - Centro - Itupeva,Rodoviária de Itupeva,5:58,ADMSEXTA
04 - Itupeva,Rua Emancipadores do Municipio - Centro - Itupeva,Latorre Pizzaria,6:00,ADMSEXTA
04 - Itupeva,Rod. Vice Pref. Hermenegildo Tonoli - Jd. Ana Luiza - Itupeva,Supermercado Monte Serrat,6:01,ADMSEXTA
04 - Itupeva,R. Francisco Cardoso da Silva - Portal da Santa Fe - Itupeva,Creche Iolanda Carlos,6:02,ADMSEXTA
04 - Itupeva,R. José Virillo - Portal da Santa Fe - Itupeva,Mercado Big Bom,6:03,ADMSEXTA
04 - Itupeva,Rua Claudina Zumstein Betelli - Portal da Santa Fe - Itupeva,Ponto de ônibus Urbano,6:04,ADMSEXTA
04 - Itupeva,Rod. Vice Pref. Hermenegildo Tonoli - Santa Julia - Itupeva,Ponto em Frente a Placa Jesus Cristo Senhor de Itupeva,6:05,ADMSEXTA
04 - Itupeva,Av. Francisco Nobre - Medeiros - Jundiaí,Mini Shopping Sarapiranga,6:12,ADMSEXTA
04 - Itupeva,Av. João Gonçalves dos Réis - Medeiros - Jundiaí,Tato Colégio,6:14,ADMSEXTA
04 - Itupeva,Av. Reynaldo de Porcari - Medeiros - Jundiaí,Chácara das Palmeiras Imperiais,6:17,ADMSEXTA
04 - Itupeva,Av. José Benassi - Jd. Ana Luiza - Itupeva,Posto de Gasolina Fazgran,6:22,ADMSEXTA
04 - Itupeva,Av. José Benassi - Res. Jundiaí - Jundiaí,Condomínio Gaivotas,6:24,ADMSEXTA
04 - Itupeva,Av. Eunice Cavalcante de Souza Queirós - Res. Jundiaí - Jundiaí,Escola Rola Bola,6:27,ADMSEXTA
04 - Itupeva,Av. Prof. Raymundo Faggiano - Pq. Almerinda Chaves - Jundiaí,Peg Pag,6:29,ADMSEXTA
04 - Itupeva,R. Mariano Latorre - Pq. Almerinda Chaves - Jundiaí,Lava Car Radar,6:30,ADMSEXTA
04 - Itupeva,Av. Francisco Roveri - Pq. Almerinda Chaves - Jundiaí,Mercado Aliança,6:31,ADMSEXTA
04 - Itupeva,Est. Mun. do Varjão - Jd. Novo Horizonte - Jundiaí,Mercado Monteiro,6:34,ADMSEXTA
04 - Itupeva,Av. Cesar Brunholli - Jd. Tulipas - Jundiaí ,Pq. Botanico Tulipas,6:42,ADMSEXTA
04 - Itupeva,Av. Adelino Martins - Jd. Tulipas - Jundiaí ,Mercado Xavier,6:50,ADMSEXTA
04 - Itupeva,Av. Cesar Brunholli - Jd. Tulipas - Jundiaí ,Pq. Botanico Tulipas,6:55,ADMSEXTA
04 - Itupeva,Av. Henrique Brunini - Fazenda Grande - Jundiaí ,Escola Marly de Marco Mendes,6:58,ADMSEXTA
04 - Itupeva,Rua Daniel da Silva - Fazenda Grande - Jundiaí,UBS,7:00,ADMSEXTA
04 - Itupeva,R. Nancy Carlota Netto - Eloy Chaves - Jundiaí,Ponto de Ônibus Urbano,7:05,ADMSEXTA
04 - Itupeva,R. Romeu Seckler Machado - Eloy Chaves - Jundiaí,Coopercica,7:06,ADMSEXTA
04 - Itupeva,Av. Luis Jose Sereno - Eloy Chaves - Jundiaí,Terminal Eloy Chaves,7:07,ADMSEXTA
04 - Itupeva,R. Dante Belodi - Eloy Chaves - Jundiaí,Borracharia Eloy,7:08,ADMSEXTA
04 - Itupeva,AV. Benedicto Castilho de Andrade - Eloy Chaves - Jundiaí,Correios - Eloy Chaves,7:10,ADMSEXTA
04 - Itupeva,Av. Antônio Pincinato - Rec. Quarto Centenario - Jundiaí,Condomínio Altissími,7:17,ADMSEXTA
04 - Itupeva,Av. Amélia Latorre - Jd. Guanabara - Jundiaí,Agro Retiro Comércio Rações,7:19,ADMSEXTA
04 - Itupeva,Av. João Antonio Meccatti - Jd. Planalto - Jundiaí,Veredas Motel,7:23,ADMSEXTA
04 - Itupeva,Rod. Dom Gabriel Paulino Couto - Distrito Industrial - Jundiaí,Posto Centenário,7:27,ADMSEXTA
05 - Varzea Paulista,Estr. da Figueira Branca - Figueira Branca - Campo Limpo Paulista,Estação Telefonica,5:50,ADMSEXTA
05 - Varzea Paulista,R. Arcangelo Bianchini - Ivoturucaia - Jundiaí,Monsenhor Venerando Nalini,6:05,ADMSEXTA
05 - Varzea Paulista,Av. Dr. Walter Gossner - Jd. America 4 - Varzea Paulista,Posto Serrano,6:08,ADMSEXTA
05 - Varzea Paulista,R. Parati - Jd. America 4 - Varzea Paulista,Lateral Cemitério,6:09,ADMSEXTA
05 - Varzea Paulista,R. Itupeva - Jd. America 4 - Varzea Paulista,Esquina com a Rua Paratí,6:10,ADMSEXTA
05 - Varzea Paulista,Av. Pacaembu - Jd. Paulista - Varzea Paulista,Escola Estadual Armando Dias,6:15,ADMSEXTA
05 - Varzea Paulista,Av. Pacaembu - Jd. Paulista - Varzea Paulista,Panobianco,6:17,ADMSEXTA
05 - Varzea Paulista,R. Itu - Jd. Paulista - Varzea Paulista,Ponto de Ônibus Urbano,6:19,ADMSEXTA
05 - Varzea Paulista,Av. São Vicente - Jd. Paulista - Varzea Paulista,Quadra de areia,6:20,ADMSEXTA
05 - Varzea Paulista,Av. Tanabi - Jd. America 3 - Varzea Paulista,Igreja Congregação,6:21,ADMSEXTA
05 - Varzea Paulista,Av. Pequerí - Jd. America 3 - Varzea Paulista,Mineirinho Gás,6:22,ADMSEXTA
05 - Varzea Paulista,Av. Tapira - Jd. America 3 - Varzea Paulista,Ponto de Ônibus Urbano,6:23,ADMSEXTA
05 - Varzea Paulista,R. Tupã - Jd. America 2 - Varzea Paulista,Ponto de Ônibus Urbano,6:24,ADMSEXTA
05 - Varzea Paulista,R. Nipoã - Jd. America 2 - Varzea Paulista,Mercado Aliança,6:25,ADMSEXTA
05 - Varzea Paulista,R. Irerê - Jd. America 2 - Varzea Paulista,Caixa D'água,6:26,ADMSEXTA
05 - Varzea Paulista,R. Orós - Jd. America 2 - Varzea Paulista,Esquina com a Rua Barretos,6:27,ADMSEXTA
05 - Varzea Paulista,R. Barretos - Jd. Novo Mundo - Varzea Paulista,Até entrada do Jardim novo Mundo,6:28,ADMSEXTA
05 - Varzea Paulista,R. Marabá - Jd. América 1 - Varzea Paulista,Portal da Comida,6:30,ADMSEXTA
05 - Varzea Paulista,R. Guaiba - Jd. América 1 - Varzea Paulista,Ponto de Ônibus Urbano,6:31,ADMSEXTA
05 - Varzea Paulista,R. Itirapina - Jd. América 1 - Varzea Paulista,Ponto de Ônibus Urbano,6:32,ADMSEXTA
05 - Varzea Paulista,R. Ricardo Aizza - Cidade Nova 2 - Varzea Paulista,Igreja Congregação,6:33,ADMSEXTA
05 - Varzea Paulista,R. José Artur Savieto - Cidade Nova 2 - Jundiaí,Kaza Condomínio Club,6:34,ADMSEXTA
05 - Varzea Paulista,R. Francisco Cao - Cidade Nova 2 - Jundiaí,Ponto de Ônibus Urbano,6:35,ADMSEXTA
05 - Varzea Paulista,Av. Moisés Raphael - Cidade Nova 2 - Jundiaí,Ponto de Ônibus Urbano,6:36,ADMSEXTA
05 - Varzea Paulista,R. Florindo Zambon - Cidade Nova 2 - Jundiaí,Mercado Flores,6:37,ADMSEXTA
05 - Varzea Paulista,R. Atibaia - Cidade Nova 2 - Jundiaí,Praça,6:39,ADMSEXTA
05 - Varzea Paulista,R. Alfredo Pizzocaro - Tamoio - Jundiaí,Padaria Belém,6:40,ADMSEXTA
05 - Varzea Paulista,R. Adamantina - Tamoio - Jundiaí,Adega S.O.S,6:41,ADMSEXTA
05 - Varzea Paulista,Av. Carlos Ângelo Mathion - Tamoio - Jundiaí,Igreja Universal,6:42,ADMSEXTA
05 - Varzea Paulista,R. Carlos Humel Guimarães - Tamoio - Jundiaí,Ponto de Ônibus Urbano,6:43,ADMSEXTA
05 - Varzea Paulista,R. São José dos Campos - Vila Nambi - Jundiaí,Ponto de Ônibus Urbano,6:44,ADMSEXTA
05 - Varzea Paulista,R. Palmeira dos Índios - Vila Nambi - Jundiaí,Ponto de Ônibus Urbano,6:45,ADMSEXTA
05 - Varzea Paulista,Av. Bento do Amaral Gurgel - Vila Nambi - Jundiaí,Farmácia Estrela,6:46,ADMSEXTA
05 - Varzea Paulista,R. Santa Maria - Pte. São João - Jundiaí,Mercado Oxxo,6:55,ADMSEXTA
05 - Varzea Paulista,Av. Luiz Zorzetti - Pte. São João - Jundiaí,Ponto de Ônibus Urbano,7:01,ADMSEXTA
05 - Varzea Paulista,R. Dino - Pte. São João - Jundiaí,Ponto de Ônibus Urbano,7:03,ADMSEXTA
05 - Varzea Paulista,R. José Belesso - Pte. São João - Jundiaí,Centro Automotivo Amaral Pneus,7:04,ADMSEXTA
05 - Varzea Paulista,Av. Antônio Frederico Ozanan - Vl. Rio Branco - Jundiaí,Posto Shell,7:07,ADMSEXTA
05 - Varzea Paulista,Av. Antônio Frederico Ozanan - Vl. Rio Branco - Jundiaí,Maxi Shopping,7:10,ADMSEXTA
05 - Varzea Paulista,Av. Pref. Luis Latorre - Vl. Hortencias - Jundiaí,Churrascaria da fazenda,7:13,ADMSEXTA
05 - Varzea Paulista,Av. Armando Giassetti - Jd. São Mirim - Jundiaí,Ponto de Ônibus Urbano,7:17,ADMSEXTA
05 - Varzea Paulista,Rod. Dom Gabriel Paulino Couto - Distrito Industrial - Jundiaí,Posto Centenário,7:23,ADMSEXTA
06 - Louveira,R. Itirapina - Hortolandia - Jundiaí,Ponto de Ônibus Urbano,6:00,ADMSEXTA
06 - Louveira,R. Palmira Cervi Barbaro - Hortolandia - Jundiaí,Ponto de Ônibus Urbano,6:02,ADMSEXTA
06 - Louveira,Rod. Ver. Geraldo Dias - Hortolandia - Jundiaí,Terminal Hortolandia,6:05,ADMSEXTA
06 - Louveira,Av. Bento Figueiredo - Vl. Marlene - Jundiaí,Ponto de Ônibus Urbano (Posto Shell),6:06,ADMSEXTA
06 - Louveira,Av. José Bulisani - Vl. Marlene - Jundiaí,Ponto de Ônibus Urbano,6:06,ADMSEXTA
06 - Louveira,Av. Prof. Pedro Clarismundo Fornari - Engordadouro - Jundiaí,sem Ponto,6:07,ADMSEXTA
06 - Louveira,Rod. Vereador Geraldo Dias - Torres São José - Jundiaí,Rotatória Terra da Uva,6:10,ADMSEXTA
06 - Louveira,Rod. Vereador Geraldo Dias - Cecap - Jundiaí,Terminal CECAP,6:13,ADMSEXTA
06 - Louveira,R. Alceu de Toledo Pontes - Cecap - Jundiaí,Ponto de Ônibus Urbano,6:14,ADMSEXTA
06 - Louveira,R. Dr. Nelson Martinho - Cecap - Jundiaí,Ponto de Ônibus Urbano,6:14,ADMSEXTA
06 - Louveira,R. Uva Niagara - Morada das Vinhas - Jundiaí,Gastaldo Lanchonete,6:16,ADMSEXTA
06 - Louveira,R. Uva Niagara - Morada das Vinhas - Jundiaí,Associação Cristã (ACDC),6:17,ADMSEXTA
06 - Louveira,Av. Andre Costa - Morada das Vinhas - Jundiaí,Supermercado Morada,6:22,ADMSEXTA
06 - Louveira,Rod. Ver. Geraldo Dias - Centro - Louveira,Estação Ferroviária de Louveira,6:32,ADMSEXTA
06 - Louveira,R. Ângelo Steck - Pq. Dos Estados - Louveira,Condomínio Villaggio Dei Fiori,6:34,ADMSEXTA
06 - Louveira,Rod. Romildo Prado - Pq. Dos Estados - Louveira,Parque da Cidade,6:37,ADMSEXTA
06 - Louveira,R. Geraldo Burck - Burck - Louveira,Mercado Primavera,6:38,ADMSEXTA
06 - Louveira,R. Antônio Bonesso - Santo Antonio - Louveira,Bosque do Burck,6:40,ADMSEXTA
06 - Louveira,R. Santo Miqueletto - Santo Antonio - Louveira,Marcelo Tapeceiro,6:42,ADMSEXTA
06 - Louveira,R. Luiz Montelato - Santo Antonio - Louveira,Juju Variedades,6:44,ADMSEXTA
06 - Louveira,R. Evaristo Cavali - Santo Antonio - Louveira,MultiDrogas,6:46,ADMSEXTA
06 - Louveira,R. das Rosas - Santo Antonio - Louveira,Casa de Cultura,6:47,ADMSEXTA
06 - Louveira,R. Armando Bertie - Santo Antonio - Louveira,Praça Pedro Sanches,6:49,ADMSEXTA
06 - Louveira,R. Nerina - Santo Antonio - Louveira,Posto Shell,6:51,ADMSEXTA
06 - Louveira,Av. Paulo Prado - Santo Antonio - Louveira,Ponto de Ônibus Urbano,6:52,ADMSEXTA
06 - Louveira,Av. Comendador Antonio Carbonari - Traviu - Jundiaí,Ponto de Ônibus Urbano,6:58,ADMSEXTA
06 - Louveira,Av. da Uva - Bairro do Poste - Jundiaí,Mercado Água Doce,7:04,ADMSEXTA
06 - Louveira,Rod. Anhanguera - Dristrito Industrial - Jundiaí,sem ponto,7:13,ADMSEXTA
06 - Louveira,Av. Armando Giassetti - Dristrito Industrial - Jundiaí,Polimix - Sent. UNIP,7:15,ADMSEXTA
06 - Louveira,Rod. Dom Gabriel Paulino Couto - Distrito Industrial - Jundiaí,Posto Centenário,7:17,ADMSEXTA
07 - Jarinu,Estr. Mun. Atilio Squizato - Roseiral - Jarinu,Praça do Roseiral,5:55,ADMSEXTA
07 - Jarinu,Rua Selly - Maracana - Jarinu,Esquina com Av. Dinah de Barros,6:11,ADMSEXTA
07 - Jarinu,Av. Dinah de Barros - Maracana - Jarinu,Deposito de Gáz,6:12,ADMSEXTA
07 - Jarinu,Rua Antenor Soares Granda - Centro - Jarinu,Ponto de ônibus,6:20,ADMSEXTA
07 - Jarinu,Estr. Mun. Natal Lorencini - Fazenda Campo Verde - Jarinu,Fazenda Campo Verde,6:30,ADMSEXTA
07 - Jarinu,Av. Humberto Cereser - Caxambu - Jundiaí,Restaurante Piatti Belli,6:36,ADMSEXTA
07 - Jarinu,Av. Com. Antonio Borin - Caxambu - Jundiaí,Paroquia Senhor Bom Jesus Caxambu,6:40,ADMSEXTA
07 - Jarinu,Av. Imigrantes - Colonia - Jundiaí,Terminal Colonia,6:45,ADMSEXTA
07 - Jarinu,Av. Imigrantes - Colonia - Jundiaí,Condomínio Residencial Villaggio Del Sogno,6:46,ADMSEXTA
07 - Jarinu,Av. Brigido Marcassa - Jd. Pacaembu - Jundiaí,Ponto de Ônibus Urbano,6:47,ADMSEXTA
07 - Jarinu,Av. Alexandre Fleming - Jd. Pacaembu - Jundiaí,Estádio Jaime Cintra,6:48,ADMSEXTA
07 - Jarinu,R. Luiz Silvestroni - Jd. Pacaembu - Jundiaí,Ponto de Ônibus Urbano (Semáforo),6:50,ADMSEXTA
07 - Jarinu,R. Dr. Antenor Soares Grandra - Colonia - Jundiaí,Ponto de Ônibus Urbano,6:51,ADMSEXTA
07 - Jarinu,R. Agostinho Balestrim - Colonia - Jundiaí,sem Ponto,6:52,ADMSEXTA
07 - Jarinu,R. Luiz Benachio - Colonia - Jundiaí,Igreja Colônia,6:53,ADMSEXTA
07 - Jarinu,Av. Comendador Antonio Borim - Colonia - Jundiaí,Ponto de Ônibus Urbano - Entrada Jd. Carpas (Semáforo),6:54,ADMSEXTA
07 - Jarinu,R. Moacir Lopes - Jd. Caçula - Jundiaí,Esquina com a Rua Ruy Camargo Duarte,6:56,ADMSEXTA
07 - Jarinu,Av. Giustiniano Borin - Jd. Caçula - Jundiaí,Condomínio Gênova,6:57,ADMSEXTA
07 - Jarinu,R. Fernão Dias Pães Leme - Jd. São Camilo - Jundiaí,Praça,6:58,ADMSEXTA
07 - Jarinu,R. Padre Roma - Jd. São Camilo - Jundiaí,Emporio do Kit,6:59,ADMSEXTA
07 - Jarinu,R. José Maria Whitaker - Jd. São Camilo - Jundiaí,Ponto de Ônibus Urbano,7:00,ADMSEXTA
07 - Jarinu,Av. São Camilo - Jd. São Camilo - Jundiaí,Ponto de Ônibus Urbano,7:01,ADMSEXTA
07 - Jarinu,R. Espirito Santo - Tarumã - Jundiaí,Igreja Congregração,7:03,ADMSEXTA
07 - Jarinu,R. Rio de Janeiro - Jardim Tarumã - Jundiaí,CRAS São Camilo,7:05,ADMSEXTA
07 - Jarinu,Av. Capitão Francisco Copelli - Jardim Tarumã - Jundiaí,Menor Preço Supermercado,7:08,ADMSEXTA
07 - Jarinu,R. Bernardo Guimarães - Jardim California - Jundiaí,Sem Ponto,7:09,ADMSEXTA
07 - Jarinu,Av. Antônio Raimundo de Oliveira - Jardim California - Jundiaí,Ponto de Ônibus Urbano (Praça),7:10,ADMSEXTA
07 - Jarinu,Av. Humberto Cereser - Jundiaí Mirim - Jundiaí,Posto Jundiaí Mirim,7:12,ADMSEXTA
07 - Jarinu,Rod. João Cereer - Pinheirinhos - Jundiaí,Parque da Cidade,7:14,ADMSEXTA
07 - Jarinu,Rod. Dom Gabriel Paulino Couto - Distrito Industrial - Jundiaí,Posto Centenário,7:20,ADMSEXTA
Dom Pedro,AV GUILHERME CAMPOS - CAMPINAS,DOM PEDRO SHOPPING,6:40,ADM
Dom Pedro,ROD GOV ADHEMAR DE BARROS - CAMPINAS,CPFL,6:45,ADM
Dom Pedro,AV JOSÉ DE SOUZA CAMPOS - CAMPINAS,TAQUARAL,6:48,ADM
Dom Pedro,AV MORAES SALES - CAMPINAS,CENTRO,6:53,ADM
Dom Pedro,VIADUTO MIGUEL VICENTE CURY - CAMPINAS,CENTRO,6:57,ADM
Dom Pedro,AV JOÃO JORGE - CAMPINAS,BRADESCO,7:00,ADM
Dom Pedro,AV PRESTES MAIA - CAMPINAS,CASA DA CRIANÇA,7:02,ADM
Dom Pedro,AV PRESTES MAIA - CAMPINAS,FRANGO ASSADO DO POSTO SHELL,7:05,ADM
Dom Pedro,ROD ANHANGUERA - VINHEDO,CAPELA-VINHEDO,7:10,ADM
Ouro Verde,RUA ARMANDO FREDERICO RENGANESCHI - CAMPINAS,FRENTE TERMINAL OURO VERDE,6:40,ADM
Ouro Verde,AV EMILLY CRISTINNE GIOVANINI - CAMPINAS,DIC,6:45,ADM
Ouro Verde,RODOVIA MIGUEL MELHADO DE CAMPOS - CAMPINAS,CAMPO BELO,7:00,ADM
Barra Funda,Rua Dr Bento Teobaldo Ferraz - São Paulo,Esquina com a Thomas Edson-Barra Funda,6:30,ADM
Barra Funda,Marginal Tietê sentido Castelo - São Paulo,Ponte Piqueri,6:35,ADM
Barra Funda,Rodovia Anhanguera SP 330 - São Paulo,KM 29 acesso ao Polvilho-Cajamar,7:00,ADM
Taquaral,AV GUILHERME CAMPOS - CAMPINAS,SHOPPING DOM PEDRO,6:40,ADMSEXTA
Taquaral,AV JOSÉ DE SOUZA CAMPOS - CAMPINAS,TAQUARAL,6:45,ADMSEXTA
Taquaral,AV JOÃO JORGE - CAMPINAS,BRADESCO OU SE PREFERIR FRANGO ASSADO,6:55,ADMSEXTA
Taquaral,AV PRESTES MAIA -  - CAMPINAS,FRANGO ASSADO DO POSTO SHELL,7:00,ADMSEXTA
Taquaral,ROD ANHANGUERA -  - CAMPINAS,VALE VERDE-VALINHOS,7:05,ADMSEXTA
Taquaral,ROD ANHANGUERA -  - VINHEDO,CAPELA-VINHEDO,7:08,ADMSEXTA
